OBJECTID,District_Descrip,Member_Name,Email_Addr,Phone_Nbr,Member_Url,Muni_Code,Council_Dist,Shape__Area,Shape__Length
1,City of Cudahy Common Council District 1,Miranda Levy ,mailto:mlevy@ci.cudahy.wi.us?subject=,414-426-5471,https://www.cudahy-wi.gov/government/common_council.php,17975,1,13226917.1043091,15736.6171857777
2,City of Cudahy Common Council District 2,Jason Phillips,mailto:jphillips@ci.cudahy.wi.us?subject=,404-414-4729,https://www.cudahy-wi.gov/government/common_council.php,17975,2,14726661.2902222,19941.9862664275
3,City of Cudahy Common Council District 3,Rob Haines,mailto:rhaines@ci.cudahy.wi.us?subject=,414-524-9962,https://www.cudahy-wi.gov/government/common_council.php,17975,3,39434448.8214722,29758.7643943917
4,City of Cudahy Common Council District 4,"Kenneth R. Jankowski, Jr.",mailto:kjankowski@ci.cudahy.wi.us?subject=,414-469-6099,https://www.cudahy-wi.gov/government/common_council.php,17975,4,28732681.6925049,24654.5616704854
5,City of Cudahy Common Council District 5,Michele St. Marie-Boelkow,mailto:st.marie-boelkowm@ci.cudahy.wi.us?subject=,414-483-2489,https://www.cudahy-wi.gov/government/common_council.php,17975,5,36923943.1661987,48207.5794422114
6,City of Franklin Common Council District 1,Ed Holpfer,mailto:eholpfer@franklinwi.gov?subject=,414-427-7601,https://www.franklinwi.gov/Departments/Elected-Officials/Common-Council/Aldermanic-District-1.htm,27300,1,207101046.115662,85449.2731753652
7,City of Franklin Common Council District 2,Michelle L. Eichmann,mailto:meichmann@franklinwi.gov?subject=,414-510-6442,https://www.franklinwi.gov/Departments/Elected-Officials/Common-Council/Aldermanic-District-2.htm,27300,2,94214894.3470459,62579.6642110714
8,City of Franklin Common Council District 3,Yousef Hasan,mailto:yhasan@franklinwi.gov?subject=,414-427-7603,https://www.franklinwi.gov/Departments/Elected-Officials/Common-Council/Aldermanic-District-3.htm,27300,3,72718933.5469971,36650.7530862684
9,City of Franklin Common Council District 4,Courtney Day,mailto:cday@franklinwi.gov?subject=,414-294-9881,https://www.franklinwi.gov/Departments/Elected-Officials/Common-Council/Aldermanic-District-4.htm,27300,4,209782399.55072,91048.7023848015
10,City of Franklin Common Council District 5,Mike Barber,mailto:mbarber@franklinwi.gov?subject=,414-427-7605,https://www.franklinwi.gov/Departments/Elected-Officials/Common-Council/Aldermanic-District-5.htm,27300,5,105969254.647644,59372.5578361432
11,City of Franklin Common Council District 6,Jason Craig,mailto:jcraig@franklinwi.gov?subject=,414-678-9823,https://www.franklinwi.gov/Departments/Elected-Officials/Common-Council/Aldermanic-District-6.htm,27300,6,277153380.411072,119509.275999854
